years;Males
0;178,45
1;184,9
2;197,26
3;193,61
4;200,67
5;205,23
6;211,59
7;217,43
8;220,41
9;222,93
10;224,24
11;227,55
12;228,36
13;227,01
14;231,96
15;234,06
16;236,74
17;244,47
18;266,77
19;216,71
20;235,61
21;241,07
22;250,59
23;259,76
24;264,75
25;271,45
26;276,78
27;280,84
28;285,02
29;287,17
30;285,34
31;289,42
32;287,81
33;292,99
34;285,98
35;278,65
36;272,56
37;273
38;272,14
39;270,38
40;265,91
41;262,82
42;255,82
43;253,41
44;246,44
45;238,05
46;235,3
47;231,35
48;228,85
49;223,52
50;219,23
51;221,08
52;223,84
53;225,98
54;222,04
55;219,97
56;216,11
57;223,68
58;235,56
59;249,29
60;252,9
61;250,46
62;244,44
63;245,47
64;241,89
65;236,68
66;233,45
67;224,25
68;216,81
69;209,91
70;197,03
71;188,85
72;177,15
73;171,36
74;164,97
75;158,74
76;157,07
77;141,36
78;116,77
79;109,55
80;101,58
81;91,75
82;79,94
83;72,39
84;63,5
85;57,29
86;49,12
87;43,25
88;37,27
89;31,29
90;26,46
91;22,13
92;17,65
93;13,88
94;9,87
95;7,18
96;5,03
97;3,44
98;2,25
99;1,45
100;2
