years;Females
0;170,36
1;174,61
2;187,31
3;183,22
4;191,05
5;195,35
6;200,56
7;207,09
8;209,43
9;212,05
10;213,15
11;214,48
12;217
13;215,84
14;220,08
15;222,49
16;226,44
17;234,03
18;256,79
19;197,38
20;214,5
21;220,65
22;230,87
23;238,78
24;246,26
25;255,05
26;263,09
27;272,13
28;279,83
29;284,79
30;286,32
31;296,26
32;295,46
33;300,8
34;295,44
35;288,86
36;284,1
37;283,43
38;282,83
39;283,18
40;279,69
41;278,73
42;271,61
43;268,33
44;261,98
45;252,6
46;248,72
47;245,02
48;241,35
49;235,64
50;231,75
51;231,59
52;235,02
53;237,19
54;233,89
55;231,45
56;228,29
57;234,26
58;246,76
59;261,6
60;264,97
61;263,7
62;258,29
63;260,08
64;256,3
65;250,48
66;247,45
67;239,23
68;233,65
69;228,05
70;215,6
71;206,69
72;194,36
73;189,88
74;184,03
75;178,5
76;177,6
77;161,1
78;134,39
79;127,76
80;120,02
81;110,54
82;98,56
83;92,35
84;83,31
85;76,44
86;68,49
87;62,06
88;56,24
89;49,59
90;43,17
91;38,73
92;32,95
93;28,13
94;21,66
95;17,63
96;13,83
97;10,28
98;7,49
99;5,44
100;9,67
