Duration;Rate
Under 1 year;0,2
1 year;1,9
2 years;8,2
3 years;13,6
4 years;14,5
5 years;14,5
6 years;14,7
7 years;13,3
8 years;13,4
9 years;13
10 years;12,1
11 years;11,6
12 years;11,3
13 years;10,5
14 years;9,2
15 years;8,6
16 years;8
17 years;7,6
18 years;7,6
19 years;7,4
20 years;7,1
21 years;6,7
22 years;6,2
23 years;6,4
24 years;5,6
25 years;5,3
26 years;4,6
27 years;4,2
28 years;3,9
29 years;3,5
30 years;3,2
31 years;2,7
32 years;2,5
33 years;2,3
34 years;1,9
35 years;1,6
36 years;1,5
37 years;1,4
38 years;1,1
39 years;1
40 years;1
41 years;0,8
42 years;0,8
43 years;0,7
44 years;0,5
45 years;0,5
46 years;0,4
47 years;0,3
48 years;0,4
49 years;0,3
