Твоя группа:,Пол:,Какой примерный бюджет на одного человека для поездки твоей мечты тебе кажется реальным на данный момент?,Какой формат поездок для тебя наиболее реален в ближайшие 2-3 года?,"Проранжируй источники информации о путешествиях по степени их важности и доверия для тебя (1 - самый важный/надежный, 5 - наименее важный): [Рекомендации друзей/знакомых (личный опыт)]","Проранжируй источники информации о путешествиях по степени их важности и доверия для тебя (1 - самый важный/надежный, 5 - наименее важный): [Отзывы на Tripadvisor, Google Maps]","Проранжируй источники информации о путешествиях по степени их важности и доверия для тебя (1 - самый важный/надежный, 5 - наименее важный): [Блоги и видео в YouTube (не брендированный контент)]","Проранжируй источники информации о путешествиях по степени их важности и доверия для тебя (1 - самый важный/надежный, 5 - наименее важный): [Соцсети (Instagram, Telegram-каналы, TikTok)]","Проранжируй источники информации о путешествиях по степени их важности и доверия для тебя (1 - самый важный/надежный, 5 - наименее важный): [Официальные сайты туроператоров, авиакомпаний, отелей]","Если время ограничено (не более 7 дней), как ты распределишь приоритеты? Проранжируй (1 - самый высокий приоритет, 5 - самый низкий): [Увидеть максимум достопримечательностей]","Если время ограничено (не более 7 дней), как ты распределишь приоритеты? Проранжируй (1 - самый высокий приоритет, 5 - самый низкий): [Погрузиться в атмосферу места, никуда не спеша]","Если время ограничено (не более 7 дней), как ты распределишь приоритеты? Проранжируй (1 - самый высокий приоритет, 5 - самый низкий): [Отдохнуть физически (спа, природа, пляж)]","Если время ограничено (не более 7 дней), как ты распределишь приоритеты? Проранжируй (1 - самый высокий приоритет, 5 - самый низкий): [Попробовать местную кухню и напитки]","Если время ограничено (не более 7 дней), как ты распределишь приоритеты? Проранжируй (1 - самый высокий приоритет, 5 - самый низкий): [Купить уникальные сувениры/вещи]",Насколько для тебя критичен при выборе поездки языковой барьер?,"Насколько ты готов экономить на комфорте (жилье, питании, транспорте) ради увеличения бюджета на впечатления (экскурсии, активность, гастрономию)?","Какие три фактора являются для тебя главными ""ред-флагами"" при планировании поездки? ",Что для тебя важнее в путешествии:,"Как ты оцениваешь свою готовность к спонтанным, плохо спланированным поездкам?",Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Жить в хостеле в общей комнате],Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Пользоваться каршерингом/автостопом вместо такси],"Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Готовить самим, а не ходить в кафе]",Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Ловить последние места на рейсы/поезда],Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Отказаться от страховки],Какими способами ты готов сэкономить на путешествии? (Выбери все подходящие и проранжируй выбранные по приемлемости: 1 - самый приемлемый способ) [Выбирать ночные переезды на автобусе/поезде для экономии на ночлеге],"Насколько привлекательна для тебя идея ""рабочего путешествия"" (digital nomad), где можно совмещать отдых/смену обстановки с учебой или удаленной подработкой? (1 - совсем не привлекательно, 10 - моя мечта)","Представь, что у тебя есть 5 дней и ограниченный бюджет. Проранжируй следующие форматы поездок от самого желаемого (1) до наименее (5): [Автобусный тур по Золотому кольцу/Серебряному ожерелью (все организовано)]","Представь, что у тебя есть 5 дней и ограниченный бюджет. Проранжируй следующие форматы поездок от самого желаемого (1) до наименее (5): [Самостоятельное путешествие на поезде/автобусе в один незнакомый город]","Представь, что у тебя есть 5 дней и ограниченный бюджет. Проранжируй следующие форматы поездок от самого желаемого (1) до наименее (5): [""Аллинклюзив"" в недорогом пансионате у моря/озера]","Представь, что у тебя есть 5 дней и ограниченный бюджет. Проранжируй следующие форматы поездок от самого желаемого (1) до наименее (5): [Поход с палатками и рыбалкой у реки/в горах]","Представь, что у тебя есть 5 дней и ограниченный бюджет. Проранжируй следующие форматы поездок от самого желаемого (1) до наименее (5): [Жить в маленьком сельском домике (деревня, eco-lodge) и изучать окрестности]"
4317,Ж,15 000 – 30 000 руб.,Короткие туры по городам России на выходные (3-4 дня),1,4,3,2,5,1,4,3,2,5,2,5,"Соображения личной безопасности, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Плохие отзывы о санитарии/чистоте",интенсивность (увидеть/попробовать как можно больше),3,6,3,1,2,4,5,10,5,1,4,2,3
4315,М,30 000 – 50 000 руб. (неделя в Турции/Египте по горящей путевке),"Поездки в ближнее зарубежье (Армения, Грузия, Казахстан, Турция)",4,5,2,3,1,5,4,3,2,1,3,3,"Высокая стоимость перелета/билетов, Соображения личной безопасности, Плохие отзывы о санитарии/чистоте",интенсивность (увидеть/попробовать как можно больше),6,6,1,2,4,5,3,3,5,3,4,2,1
4314,Ж,15 000 – 30 000 руб.,Короткие туры по городам России на выходные (3-4 дня),5,2,4,1,3,2,5,4,3,1,5,5,"Соображения личной безопасности, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Плохие отзывы о санитарии/чистоте","релаксация (выспаться, отключиться от учебы/работы)",5,5,6,1,4,2,3,1,4,5,3,2,1
4316,Ж,15 000 – 30 000 руб.,"Поездки в дальнее зарубежье (Европа, Азия)",1,3,2,4,5,1,3,4,2,5,7,1,"Сложность/стоимость получения визы, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Плохие отзывы о санитарии/чистоте",интенсивность (увидеть/попробовать как можно больше),4,6,5,1,2,3,4,10,1,2,3,4,5
4317,Ж,15 000 – 30 000 руб.,"Поездки в ближнее зарубежье (Армения, Грузия, Казахстан, Турция)",1,5,2,4,3,3,1,2,4,5,2,3,"Сложность/стоимость получения визы, Соображения личной безопасности, Плохие отзывы о санитарии/чистоте","релаксация (выспаться, отключиться от учебы/работы)",9,6,5,1,4,2,3,6,2,4,1,3,5
4317,Ж,30 000 – 50 000 руб. (неделя в Турции/Египте по горящей путевке),Короткие туры по городам России на выходные (3-4 дня),5,4,3,2,1,5,4,2,3,1,8,7,"Высокая стоимость перелета/билетов, Сложность/стоимость получения визы, Соображения личной безопасности",интенсивность (увидеть/попробовать как можно больше),3,6,4,2,5,3,1,8,1,2,5,3,4
4317,М,Более 50 000 руб. (дальнее зарубежье),Короткие туры по городам России на выходные (3-4 дня),5,3,1,2,4,3,4,5,2,1,3,10,"Высокая стоимость перелета/билетов, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Плохие отзывы о санитарии/чистоте","релаксация (выспаться, отключиться от учебы/работы)",10,5,1,4,2,3,6,8,4,5,3,1,2
4315,Ж,30 000 – 50 000 руб. (неделя в Турции/Египте по горящей путевке),"Поездки в дальнее зарубежье (Европа, Азия)",5,4,3,2,1,4,3,2,5,1,5,7,"Высокая стоимость перелета/билетов, Сложность/стоимость получения визы, Соображения личной безопасности",интенсивность (увидеть/попробовать как можно больше),8,1,3,2,5,4,6,7,2,1,5,4,3
4319,М,15 000 – 30 000 руб.,Длинные путешествия по России на каникулах (1-2 недели),1,4,2,3,5,4,1,2,3,5,4,6,"Соображения личной безопасности, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Плохие отзывы о санитарии/чистоте",интенсивность (увидеть/попробовать как можно больше),5,5,3,1,2,6,4,7,4,5,2,1,3
4317,Ж,Более 50 000 руб. (дальнее зарубежье),"Поездки в дальнее зарубежье (Европа, Азия)",5,3,2,1,4,2,3,5,4,1,5,5,"Сложность/стоимость получения визы, Соображения личной безопасности, Плохие отзывы о санитарии/чистоте","релаксация (выспаться, отключиться от учебы/работы)",3,6,5,1,2,4,3,2,5,2,1,4,3
4317,Ж,Более 50 000 руб. (дальнее зарубежье),"Поездки в дальнее зарубежье (Европа, Азия)",5,4,3,2,1,3,4,2,5,1,2,9,"Соображения личной безопасности, Отсутствие интересующей инфраструктуры (нет конкретных мест, которые хочу увидеть), Неподходящий климат",интенсивность (увидеть/попробовать как можно больше),5,3,2,5,4,6,1,7,5,3,2,1,4
